Time [s],Channel 6
9.893632465,0
10.004216000,1
10.004236000,0
10.004816000,1
10.004836000,0
10.005416000,1
10.005436000,0
10.006016000,1
10.006036000,0
10.006622000,1
10.006642000,0
10.007218000,1
10.007238000,0
10.007816000,1
10.007836000,0
10.008418000,1
10.008438000,0
10.009018000,1
10.009038000,0
10.009618000,1
10.009638000,0
10.010218000,1
10.010238000,0
10.010818000,1
10.010838000,0
10.011420000,1
10.011440000,0
10.012020000,1
10.012040000,0
10.012620000,1
10.012640000,0
10.013220000,1
10.013240000,0
10.013820000,1
10.013840000,0
10.014420000,1
10.014440000,0
10.015022000,1
10.015042000,0
10.015622000,1
10.015640000,0
10.016222000,1
10.016242000,0
10.016822000,1
10.016842000,0
10.017422000,1
10.017442000,0
10.018022000,1
10.018042000,0
10.018622000,1
10.018642000,0
10.019224000,1
10.019242000,0
10.019824000,1
10.019844000,0
10.020424000,1
10.020444000,0
10.021024000,1
10.021044000,0
10.021624000,1
10.021644000,0
10.022224000,1
10.022244000,0
10.022824000,1
10.022844000,0
10.023426000,1
10.023444000,0
10.024026000,1
10.024046000,0
10.024626000,1
10.024646000,0
10.025226000,1
10.025246000,0
10.025826000,1
10.025846000,0
10.026428000,1
10.026448000,0
10.027026000,1
10.027046000,0
10.027628000,1
10.027648000,0
10.028228000,1
10.028248000,0
10.028828000,1
10.028848000,0
10.029428000,1
10.029448000,0
10.030028000,1
10.030048000,0
10.030630000,1
10.030648000,0
10.031230000,1
10.031250000,0
10.031830000,1
10.031850000,0
10.032430000,1
10.032450000,0
10.033036000,1
10.033056000,0
10.033630000,1
10.033650000,0
10.034230000,1
10.034250000,0
10.034832000,1
10.034852000,0
10.035432000,1
10.035452000,0
10.036032000,1
10.036052000,0
10.036632000,1
10.036652000,0
10.037232000,1
10.037252000,0
10.037834000,1
10.037854000,0
10.038432000,1
10.038452000,0
10.039034000,1
10.039054000,0
10.039634000,1
10.039654000,0
10.040234000,1
10.040254000,0
10.040834000,1
10.040854000,0
10.041434000,1
10.041454000,0
10.042034000,1
10.042054000,0
10.042636000,1
10.042656000,0
10.043236000,1
10.043256000,0
10.043836000,1
10.043856000,0
10.044436000,1
10.044456000,0
10.045036000,1
10.045056000,0
10.045636000,1
10.045656000,0
10.046238000,1
10.046256000,0
10.046838000,1
10.046858000,0
10.047438000,1
10.047458000,0
10.048038000,1
10.048058000,0
10.048638000,1
10.048658000,0
10.049240000,1
10.049260000,0
10.049838000,1
10.049858000,0
10.050440000,1
10.050460000,0
10.051040000,1
10.051060000,0
10.051640000,1
10.051660000,0
10.052240000,1
10.052260000,0
10.052840000,1
10.052860000,0
10.053440000,1
10.053460000,0
10.054042000,1
10.054062000,0
10.054642000,1
10.054662000,0
10.055242000,1
10.055262000,0
10.055842000,1
10.055862000,0
10.056442000,1
10.056462000,0
10.057042000,1
10.057062000,0
10.057644000,1
10.057662000,0
10.058244000,1
10.058264000,0
10.058876000,1
10.058896000,0
10.059444000,1
10.059464000,0
10.060044000,1
10.060064000,0
10.060644000,1
10.060664000,0
10.061244000,1
10.061264000,0
10.061846000,1
10.061866000,0
10.062446000,1
10.062466000,0
10.063046000,1
10.063066000,0
10.063646000,1
10.063666000,0
10.064248000,1
10.064266000,0
10.064846000,1
10.064866000,0
10.065448000,1
10.065466000,0
10.066048000,1
10.066068000,0
10.066648000,1
10.066668000,0
10.067248000,1
10.067268000,0
10.067848000,1
10.067868000,0
10.068448000,1
10.068468000,0
10.069048000,1
10.069068000,0
10.069650000,1
10.069670000,0
10.070250000,1
10.070270000,0
10.070850000,1
10.070870000,0
10.071450000,1
10.071470000,0
10.072050000,1
10.072070000,0
10.072650000,1
10.072670000,0
10.073252000,1
10.073272000,0
10.073852000,1
10.073872000,0
10.074452000,1
10.074472000,0
10.075052000,1
10.075072000,0
10.075652000,1
10.075672000,0
10.076252000,1
10.076272000,0
10.076854000,1
10.076872000,0
10.077454000,1
10.077474000,0
10.078054000,1
10.078074000,0
10.078654000,1
10.078674000,0
10.079254000,1
10.079274000,0
10.079854000,1
10.079874000,0
10.080454000,1
10.080532000,0
10.080544000,1
10.080564000,0
10.080832000,1
10.080852000,0
10.081130000,1
10.081150000,0
10.081432000,1
10.081452000,0
10.081732000,1
10.081752000,0
10.082032000,1
10.082052000,0
10.082332000,1
10.082352000,0
10.082632000,1
10.082652000,0
10.082932000,1
10.082952000,0
10.083232000,1
10.083252000,0
10.083532000,1
10.083552000,0
10.083832000,1
10.083852000,0
10.084132000,1
10.084152000,0
10.084432000,1
10.084452000,0
10.084732000,1
10.084752000,0
10.085034000,1
10.085054000,0
10.085334000,1
10.085354000,0
10.085634000,1
10.085654000,0
10.085934000,1
10.085954000,0
10.086234000,1
10.086254000,0
10.086534000,1
10.086554000,0
10.086834000,1
10.086854000,0
10.087134000,1
10.087154000,0
10.087434000,1
10.087454000,0
10.087734000,1
10.087754000,0
10.088034000,1
10.088054000,0
10.088334000,1
10.088354000,0
10.088634000,1
10.088654000,0
10.088936000,1
10.088956000,0
10.089236000,1
10.089256000,0
10.089536000,1
10.089556000,0
10.089836000,1
10.089856000,0
10.090136000,1
10.090156000,0
10.090436000,1
10.090456000,0
10.090736000,1
10.090756000,0
10.091036000,1
10.091056000,0
10.091336000,1
10.091356000,0
10.091636000,1
10.091656000,0
10.091936000,1
10.091956000,0
10.092236000,1
10.092256000,0
10.092536000,1
10.092556000,0
10.092838000,1
10.092856000,0
10.093138000,1
10.093158000,0
10.093438000,1
10.093458000,0
10.093738000,1
10.093758000,0
10.094038000,1
10.094058000,0
10.094338000,1
10.094358000,0
10.094638000,1
10.094658000,0
10.094938000,1
10.094958000,0
10.095238000,1
10.095258000,0
10.095538000,1
10.095558000,0
10.095838000,1
10.095858000,0
10.096138000,1
10.096158000,0
10.096438000,1
10.096458000,0
10.096740000,1
10.096758000,0
10.097040000,1
10.097060000,0
10.097340000,1
10.097360000,0
10.097640000,1
10.097660000,0
10.097940000,1
10.097960000,0
10.098240000,1
10.098260000,0
10.098540000,1
10.098560000,0
10.098840000,1
10.098860000,0
10.099140000,1
10.099160000,0
10.099440000,1
10.099460000,0
10.099740000,1
10.099760000,0
10.100040000,1
10.100060000,0
10.100340000,1
10.100360000,0
10.100642000,1
10.100662000,0
10.100942000,1
10.100962000,0
10.101242000,1
10.101262000,0
10.101542000,1
10.101562000,0
10.101842000,1
10.101862000,0
10.102142000,1
10.102162000,0
10.102442000,1
10.102462000,0
10.102742000,1
10.102762000,0
10.103042000,1
10.103062000,0
10.103342000,1
10.103362000,0
10.103642000,1
10.103662000,0
10.103942000,1
10.103962000,0
10.104244000,1
10.104262000,0
10.104544000,1
10.104564000,0
10.104844000,1
10.104864000,0
10.105144000,1
10.105164000,0
10.105444000,1
10.105464000,0
10.105744000,1
10.105764000,0
10.106044000,1
10.106064000,0
10.106344000,1
10.106364000,0
10.106644000,1
10.106664000,0
10.106944000,1
10.106964000,0
10.107246000,1
10.107266000,0
10.107544000,1
10.107564000,0
10.107844000,1
10.107864000,0
10.108146000,1
10.108164000,0
10.108446000,1
10.108466000,0
10.108746000,1
10.108766000,0
10.109046000,1
10.109066000,0
10.109346000,1
10.109366000,0
10.109646000,1
10.109666000,0
10.109946000,1
10.109966000,0
10.110246000,1
10.110266000,0
